,Address,Date,Latitude,Longitude,NumMosquitos,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,most_recent_spray,WnvPresent
0,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-05-29,41.974,-87.825,1,0,1,0,0,0,0,3650,0
1,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-05-29,41.974,-87.825,4,0,0,1,0,0,0,3650,0
2,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-05,41.974,-87.825,1,0,1,0,0,0,0,3650,0
3,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-05,41.974,-87.825,2,0,0,1,0,0,0,3650,0
4,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-26,41.974,-87.825,1,0,0,1,0,0,0,3650,0
5,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-29,41.974,-87.825,1,0,1,0,0,0,0,3650,0
6,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-29,41.974,-87.825,2,0,0,1,0,0,0,3650,0
7,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-02,41.974,-87.825,3,0,1,0,0,0,0,3650,0
8,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-11,41.974,-87.825,1,0,1,0,0,0,0,3650,0
9,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-11,41.974,-87.825,1,0,0,1,0,0,0,3650,0
10,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-11,41.974,-87.825,2,0,0,1,0,0,0,3650,0
11,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-18,41.974,-87.825,1,0,0,1,0,0,0,3650,0
12,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-18,41.974,-87.825,4,1,0,0,0,0,0,3650,0
13,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-27,41.974,-87.825,1,0,1,0,0,0,0,3650,0
14,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-27,41.974,-87.825,1,0,0,1,0,0,0,3650,0
15,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-27,41.974,-87.825,2,0,0,1,0,0,0,3650,0
16,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-01,41.974,-87.825,6,0,1,0,0,0,0,3650,0
17,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-01,41.974,-87.825,5,0,1,0,0,0,0,3650,1
18,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-01,41.974,-87.825,2,0,0,1,0,0,0,3650,0
19,"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-08-01,41.974,-87.825,5,1,0,0,0,0,0,3650,0
