Address,Date,Latitude,Longitude,NumMosquitos,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,most_recent_spray,WnvPresent,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Month,Year,Weather_hot_dry,Weather_normal
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-05-29,41.974,-87.825,1,0,1,0,0,0,0,3650,0,1,88,60,74,58,65,0,9,BR HZ,0.0,29.39,30.11,5.8,18,6.5,5,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-05-29,41.974,-87.825,4,0,0,1,0,0,0,3650,0,1,88,60,74,58,65,0,9,BR HZ,0.0,29.39,30.11,5.8,18,6.5,5,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-05,41.974,-87.825,1,0,1,0,0,0,0,3650,0,1,64,47,56,48,51,9,0,RA BR,0.42,29.1,29.79,5.2,5,7.6,6,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-05,41.974,-87.825,2,0,0,1,0,0,0,3650,0,1,64,47,56,48,51,9,0,RA BR,0.42,29.1,29.79,5.2,5,7.6,6,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-26,41.974,-87.825,1,0,0,1,0,0,0,3650,0,1,92,70,81,69,72,0,16,TSRA BR HZ VCTS,0.16,29.39,30.11,6.1,22,7.1,6,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-29,41.974,-87.825,1,0,1,0,0,0,0,3650,0,1,70,56,63,55,59,2,0, ,0.0,29.41,30.13,7.6,2,8.3,6,2007,0,1
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-06-29,41.974,-87.825,2,0,0,1,0,0,0,3650,0,1,70,56,63,55,59,2,0, ,0.0,29.41,30.13,7.6,2,8.3,6,2007,0,1
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-02,41.974,-87.825,3,0,1,0,0,0,0,3650,0,1,79,53,66,50,58,0,1, ,0.0,29.49,30.22,5.9,14,8.1,7,2007,0,1
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-11,41.974,-87.825,1,0,1,0,0,0,0,3650,0,1,77,62,70,51,59,0,5, ,0.0,29.23,29.93,8.8,30,10.9,7,2007,0,1
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-11,41.974,-87.825,1,0,0,1,0,0,0,3650,0,1,77,62,70,51,59,0,5, ,0.0,29.23,29.93,8.8,30,10.9,7,2007,0,1
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-11,41.974,-87.825,2,0,0,1,0,0,0,3650,0,1,77,62,70,51,59,0,5, ,0.0,29.23,29.93,8.8,30,10.9,7,2007,0,1
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-18,41.974,-87.825,1,0,0,1,0,0,0,3650,0,1,85,69,77,68,71,0,12,TSRA RA BR VCTS,1.55,29.11,29.84,9.1,24,10.1,7,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-18,41.974,-87.825,4,1,0,0,0,0,0,3650,0,1,85,69,77,68,71,0,12,TSRA RA BR VCTS,1.55,29.11,29.84,9.1,24,10.1,7,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-27,41.974,-87.825,1,0,1,0,0,0,0,3650,0,1,83,70,77,68,70,0,12,RA BR HZ,0.17,29.11,29.82,3.0,3,7.9,7,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-27,41.974,-87.825,1,0,0,1,0,0,0,3650,0,1,83,70,77,68,70,0,12,RA BR HZ,0.17,29.11,29.82,3.0,3,7.9,7,2007,0,0
"7900 West Foster Avenue, Chicago, IL 60656, USA",2007-07-27,41.974,-87.825,2,0,0,1,0,0,0,3650,0,1,83,70,77,68,70,0,12,RA BR HZ,0.17,29.11,29.82,3.0,3,7.9,7,2007,0,0
